ZIP Code,edu_white_hs,edu_white_bachelors,edu_white_non_hispanic_hs,edu_white_non_hispanic_bachelors,edu_black_hs,edu_black_bachelors,edu_ai_an_hs,edu_ai_an_bachelors,edu_asian_hs,edu_asian_bachelors,edu_npi_hs,edu_npi_bachelors,edu_other_hs,edu_other_bachelors
68862,93.4,28.6,93.7,29.5,100.0,0.0,100.0,50.0,-,-,-,-,50.0,0.0
68863,95.4,13.7,97.3,13.6,-,-,100.0,0.0,100.0,0.0,-,-,0.0,0.0
68864,97.5,24.6,97.5,24.6,-,-,-,-,100.0,100.0,-,-,-,-
68865,97.4,24.5,97.4,24.5,-,-,100.0,0.0,-,-,-,-,100.0,0.0
68866,94.5,28.6,94.4,28.9,-,-,-,-,-,-,-,-,-,-
68869,91.9,17.1,91.9,16.8,-,-,-,-,-,-,-,-,42.9,0.0
68870,96.5,32.4,96.5,33.0,-,-,-,-,100.0,0.0,-,-,100.0,0.0
68871,89.2,19.4,89.1,19.6,-,-,-,-,-,-,-,-,-,-
68872,99.0,18.2,99.0,18.2,-,-,-,-,100.0,100.0,-,-,-,-
68873,95.7,23.2,95.9,22.5,-,-,-,-,-,-,-,-,42.6,0.0
68874,96.4,21.4,96.4,21.5,100.0,0.0,-,-,-,-,-,-,-,-
68875,87.0,15.9,87.0,15.9,100.0,0.0,-,-,-,-,-,-,100.0,0.0
68876,99.4,21.3,99.4,21.4,-,-,-,-,-,-,-,-,48.2,0.0
68878,87.3,17.3,88.8,20.1,-,-,-,-,-,-,-,-,100.0,0.0
68879,97.7,10.1,97.6,10.6,-,-,-,-,-,-,-,-,-,-
68881,100.0,59.5,100.0,59.5,-,-,-,-,-,-,-,-,-,-
68882,94.5,15.3,94.5,15.3,0.0,0.0,100.0,0.0,-,-,-,-,100.0,0.0
68883,96.2,23.8,97.4,24.7,-,-,100.0,0.0,-,-,-,-,54.9,18.6
68901,94.0,28.3,94.1,28.5,96.0,0.0,100.0,0.0,60.1,7.9,-,-,62.7,11.9
68920,94.4,24.4,94.6,24.5,-,-,-,-,100.0,100.0,-,-,0.0,0.0
68922,92.2,17.8,92.1,18.1,0.0,0.0,100.0,0.0,100.0,100.0,-,-,100.0,100.0
68923,97.4,3.9,97.4,3.9,-,-,-,-,-,-,-,-,-,-
68924,97.5,31.0,97.5,31.1,-,-,100.0,100.0,-,-,-,-,0.0,0.0
68925,92.7,20.7,92.7,20.7,-,-,-,-,-,-,-,-,-,-
68926,93.5,15.2,93.5,15.2,-,-,0.0,0.0,-,-,-,-,0.0,0.0
68927,95.2,22.9,95.2,23.0,100.0,0.0,-,-,-,-,-,-,20.0,0.0
68928,97.1,29.3,99.1,29.9,-,-,-,-,-,-,-,-,100.0,0.0
68929,91.5,22.3,91.0,23.6,-,-,-,-,-,-,-,-,-,-
68930,96.5,24.1,96.5,24.1,100.0,100.0,-,-,-,-,100.0,0.0,-,-
68932,91.5,18.3,91.5,18.5,-,-,-,-,100.0,100.0,-,-,0.0,0.0
68933,96.0,23.1,96.0,23.1,100.0,18.2,0.0,0.0,-,-,-,-,46.2,0.0
68934,92.5,17.8,92.5,17.8,-,-,-,-,-,-,-,-,-,-
68935,96.5,26.9,96.5,27.3,-,-,-,-,-,-,-,-,-,-
68936,91.5,6.8,91.5,6.8,-,-,-,-,-,-,-,-,-,-
68937,95.7,28.5,96.5,29.5,100.0,0.0,-,-,-,-,0.0,0.0,-,-
68938,97.7,15.8,97.6,16.2,-,-,-,-,-,-,-,-,-,-
68939,92.2,18.0,92.1,18.4,66.7,0.0,100.0,0.0,100.0,100.0,100.0,0.0,100.0,0.0
68940,96.2,29.5,96.2,29.5,-,-,100.0,0.0,100.0,0.0,-,-,100.0,33.3
68941,94.0,9.4,94.7,9.4,-,-,100.0,0.0,-,-,-,-,40.0,0.0
68942,87.5,22.8,94.1,18.9,-,-,-,-,-,-,-,-,100.0,0.0
68943,96.2,24.2,96.2,24.2,-,-,-,-,-,-,-,-,-,-
68944,92.0,19.5,91.3,21.3,42.9,42.9,100.0,0.0,-,-,-,-,55.0,0.0
68945,100.0,12.4,100.0,12.4,-,-,-,-,-,-,-,-,-,-
68946,100.0,8.3,100.0,8.3,-,-,-,-,-,-,-,-,-,-
68947,96.8,26.8,96.8,26.8,100.0,0.0,100.0,0.0,-,-,-,-,100.0,0.0
