hi_white_with_coverage,hi_white_no_coverage,hi_black_with_coverage,hi_black_no_coverage,hi_asian_with_coverage,hi_asian_no_coverage,hi_ai_an_with_coverage,hi_ai_an_no_coverage,hi_npi_with_coverage,hi_npi_no_coverage,hi_other_with_coverage,hi_other_no_coverage,ZIP Code
83,0,0,0,0,0,0,0,0,0,0,0,50145
447,15,0,0,0,0,0,0,0,0,0,0,50146
233,25,0,0,0,0,0,0,0,0,0,0,50147
313,30,0,0,0,0,0,0,0,0,0,0,50148
743,87,0,0,0,0,0,0,0,0,0,0,50149
824,21,0,0,0,0,0,0,0,0,11,0,50150
582,10,0,0,0,0,0,0,0,0,0,0,50151
142,0,0,0,0,0,0,0,0,0,0,0,50152
834,6,0,0,0,0,1,0,0,0,1,0,50153
565,36,0,0,2,0,0,0,0,0,0,0,50154
104,20,0,0,0,0,0,0,0,0,7,0,50155
4291,172,7,0,0,0,0,0,0,0,0,0,50156
527,36,0,0,0,0,0,0,0,0,77,0,50157
21073,733,718,33,1386,81,228,35,0,0,2002,230,50158
517,28,4,0,0,0,2,0,0,0,0,0,50160
1843,13,11,0,21,0,0,0,0,0,68,0,50161
1250,35,0,0,0,0,1,0,0,0,0,0,50162
642,17,0,0,0,0,0,0,0,0,0,0,50163
622,19,0,0,0,0,0,0,0,0,0,0,50164
31,2,0,0,0,0,0,0,0,0,0,0,50165
1816,17,0,0,0,0,0,0,0,0,0,0,50166
758,45,0,0,0,0,0,0,0,0,5,0,50167
754,27,6,2,3,0,0,0,0,0,0,0,50168
2137,45,8,0,0,0,0,0,0,0,23,0,50169
2787,50,0,0,15,0,0,0,0,0,1,0,50170
2195,60,0,0,12,0,6,0,0,0,5,0,50171
483,7,10,0,0,0,136,12,0,0,2,0,50173
1080,271,1,0,6,0,0,0,0,0,28,12,50174
7198,181,7,8,37,0,19,0,0,0,170,108,50201
485,4,0,0,3,0,0,0,0,0,0,0,50206
2174,94,0,0,0,0,0,0,0,0,0,0,50207
16733,637,267,81,130,1,21,0,0,0,158,13,50208
1482,16,0,0,0,0,0,0,0,0,0,0,50210
14121,91,156,5,49,7,9,0,0,0,49,90,50211
2923,77,0,0,0,0,0,0,0,0,0,0,50212
5801,258,1,0,40,0,1,0,0,0,618,0,50213
646,23,0,0,25,0,0,0,0,0,36,0,50214
2686,41,27,0,0,0,8,0,0,0,15,0,50216
491,5,0,0,4,0,0,0,0,0,0,0,50217
264,13,0,0,0,0,0,0,0,0,0,0,50218
12827,422,69,0,161,0,19,0,0,0,102,30,50219
6560,343,294,8,24,0,111,0,5,0,617,64,50220
365,5,0,0,0,0,0,0,0,0,3,0,50222
